movie_id,title,publication_year,genre_id
918,The Girl Next Door,2007,2
919,Perfume: The Story of a Murderer,2006,7
920,The Golden Compass,2007,6
921,Centurion,2010,15
922,Scouts Guide to the Zombie Apocalypse,2015,6
923,17 Again,2009,13
924,No Escape,2015,15
925,Superman Returns,2006,12
926,The Twilight Saga: Breaking Dawn - Part 1,2011,17
927,Precious,2009,15
928,The Sea of Trees,2015,15
929,Good Kids,2016,1
930,The Master,2012,2
931,Footloose,2011,10
932,If I Stay,2014,1
933,The Ticket,2016,19
934,Detour,2016,10
935,The Love Witch,2016,3
936,Talladega Nights: The Ballad of Ricky Bobby,2006,17
937,The Human Centipede (First Sequence),2009,1
938,Super,2010,9
939,The Siege of Jadotville,2016,15
940,Up in the Air,2009,5
941,The Midnight Meat Train,2008,16
942,The Twilight Saga: Eclipse,2010,14
943,Transpecos,2016,14
944,What's Your Number?,2011,18
945,Riddick,2013,8
946,Triangle,2009,13
947,The Butler,2013,2
948,King Cobra,2016,19
949,After Earth,2013,13
950,Kicks,2016,16
951,Me and Earl and the Dying Girl,2015,6
952,The Descendants,2011,14
953,Sex and the City 2,2010,5
954,The Kings of Summer,2013,18
955,Death Race,2008,12
956,That Awkward Moment,2014,14
957,Legion,2010,4
958,End of Watch,2012,5
959,3 Days to Kill,2014,4
960,Lucky Number Slevin,2006,14
961,Trance,2013,18
962,Into the Forest,2015,5
963,The Other Boleyn Girl,2008,16
964,I Spit on Your Grave,2010,9
965,Custody,2016,6
966,Inland Empire,2006,16
967,L'odyssée,2016,11
968,The Walk,2015,1
969,Wrecker,2015,7
970,The Lone Ranger,2013,7
971,Texas Chainsaw 3D,2013,17
972,Disturbia,2007,17
973,Rock of Ages,2012,14
974,Scream 4,2011,19
975,Queen of Katwe,2016,19
976,My Big Fat Greek Wedding 2,2016,15
977,Dark Places,2015,15
978,Amateur Night,2016,13
979,It's Only the End of the World,2016,11
980,The Skin I Live In,2011,7
981,Miracles from Heaven,2016,16
982,Annie,2014,15
983,Across the Universe,2007,17
984,Let's Be Cops,2014,9
985,Max,2015,8
986,Your Highness,2011,16
987,Final Destination 5,2011,12
988,Endless Love,2014,12
989,Martyrs,2008,7
990,Selma,2014,2
991,Underworld: Rise of the Lycans,2009,6
992,Taare Zameen Par,2007,3
993,Take Me Home Tonight,2011,4
994,Resident Evil: Afterlife,2010,6
995,Project X,2012,1
996,Secret in Their Eyes,2015,19
997,Hostel: Part II,2007,6
998,Step Up 2: The Streets,2008,19
999,Search Party,2014,2
1000,Nine Lives,2016,17
