movie_id,title,publication_year,genre_id
181,Bridget Jones's Baby,2016,14
182,The VVitch: A New-England Folktale,2015,7
183,Cinderella,2015,8
184,Realive,2016,19
185,Forushande,2016,16
186,Love,2015,2
187,Billy Lynn's Long Halftime Walk,2016,4
188,Crimson Peak,2015,4
189,Drive,2011,11
190,Trainwreck,2015,2
191,The Light Between Oceans,2016,12
192,Below Her Mouth,2016,13
193,Spotlight,2015,16
194,Morgan,2016,12
195,Warrior,2011,18
196,Captain America: The First Avenger,2011,12
197,Hacker,2016,1
198,Into the Wild,2007,3
199,The Imitation Game,2014,6
200,Central Intelligence,2016,1
201,Edge of Tomorrow,2014,13
202,A Cure for Wellness,2016,5
203,Snowden,2016,18
204,Iron Man,2008,15
205,Allegiant,2016,1
206,X: First Class,2011,10
207,Raw (II),2016,12
208,Paterson,2016,1
209,Bridesmaids,2011,3
210,The Girl with All the Gifts,2016,8
211,San Andreas,2015,10
212,Spring Breakers,2012,10
213,Transformers,2007,2
214,Old Boy,2013,5
215,Thor: The Dark World,2013,17
216,Gods of Egypt,2016,14
217,Captain America: The Winter Soldier,2014,12
218,Monster Trucks,2016,4
219,A Dark Song,2016,2
220,Kick-Ass,2010,13
221,Hardcore Henry,2015,8
222,Cars,2006,15
223,It Follows,2014,15
224,The Girl with the Dragon Tattoo,2011,14
225,We're the Millers,2013,13
226,American Honey,2016,4
227,The Lobster,2015,3
228,Predators,2010,5
229,Maleficent,2014,17
230,Rupture,2016,1
231,Pan's Labyrinth,2006,15
232,A Kind of Murder,2016,18
233,Apocalypto,2006,4
234,Mission: Impossible - Rogue Nation,2015,19
235,The Huntsman: Winter's War,2016,16
236,The Perks of Being a Wallflower,2012,18
237,Jackie,2016,11
238,The Disappointments Room,2016,10
239,The Grand Budapest Hotel,2014,11
240,The Host,2013,9
241,Fury,2014,18
242,Inside Out,2015,6
243,Rock Dog,2016,5
244,Terminator Genisys,2015,6
245,Percy Jackson & the Olympians: The Lightning Thief,2010,4
246,Les Misérables,2012,9
247,Children of Men,2006,16
248,20th Century Women,2016,9
249,Spy,2015,17
250,The Intouchables,2011,4
251,Bonjour Anne,2016,14
252,Kynodontas,2009,6
253,Straight Outta Compton,2015,6
